月份,制造业-指数,制造业-同比增长,非制造业-指数,非制造业-同比增长
,49.0,-2.39043825,49.5,-1.78571429
,49.3,0.40733198,49.4,-1.5936255
,50.1,0.0,50.2,-3.83141762
,49.2,-2.18687873,49.5,-1.0
,49.0,-2.19560878,50.1,-0.19920319
,49.8,0.0,50.0,0.0
,49.4,0.61099796,50.3,0.0
,49.3,-0.20242915,50.1,-0.19920319
,49.7,0.4040404,50.5,0.0
,49.5,0.0,50.3,-1.56555773
,49.0,-2.77777778,50.4,-1.5625
,50.5,-0.59055118,50.8,-4.1509434
,50.2,2.24032587,50.4,-1.94552529
,49.1,-0.20325203,50.2,-0.98619329
,50.1,2.24489796,52.2,3.57142857
,50.3,1.82186235,50.0,-0.39840637
,50.1,1.21212121,50.2,-0.79051383
,49.8,-0.79681275,50.0,-3.28820116
,49.1,-1.20724346,50.3,-1.37254902
,49.4,0.20283976,50.2,-2.52427184
,49.5,1.02040816,50.5,-5.07518797
,49.5,1.43442623,51.1,-6.23853211
,50.4,2.43902439,51.2,-9.21985816
,50.8,-2.1194605,53.0,-8.9347079
,49.1,-6.6539924,51.4,-8.70337478
,49.2,-1.79640719,50.7,-6.80147059
,49.0,4.25531915,50.4,21.15384615
,49.4,2.91666667,50.2,7.49464668
,49.5,0.6097561,50.6,3.90143737
,50.2,0.1996008,51.7,2.17391304
,49.7,0.60728745,51.0,-3.0418251
,49.3,0.6122449,51.5,-4.27509294
,49.0,-2.39043825,53.2,-2.74223035
,48.8,-1.61290323,54.5,14.0167364
,49.2,3.79746835,56.4,34.60620525
,51.9,4.84848485,58.2,20.24793388
,52.6,4.78087649,56.3,9.10852713
,50.1,0.0,54.4,6.45792564
,47.0,-6.56063618,41.6,-21.0626186
,48.0,-4.19161677,46.7,-10.70745698
,49.2,0.0,48.7,-7.0610687
,50.1,1.00806452,50.6,-4.88721805
,49.4,-1.39720559,52.6,10.73684211
,49.0,-2.77777778,53.8,0.9380863
,50.2,-1.37524558,54.7,2.24299065
,49.6,-2.74509804,47.8,-13.4057971
,47.4,-7.2407045,41.9,-23.67941712
,49.5,-4.62427746,48.4,-14.03197158
,50.2,-0.79051383,51.6,0.38910506
,50.1,-2.33918129,51.1,-2.48091603
,50.3,-3.08285164,52.7,-5.38599641
,50.1,-3.83877159,52.3,-7.26950355
,49.2,-4.28015564,52.4,-6.76156584
,49.6,-3.68932039,53.2,-4.83005367
,50.1,-1.76470588,47.5,-13.94927536
,50.4,-1.36986301,53.3,-1.66051661
,50.9,0.0,53.5,-1.65441176
,51.0,0.79051383,55.2,2.98507463
,51.1,0.59055118,54.9,3.19548872
,51.9,-0.19230769,56.3,7.64818356
,50.6,41.73669468,51.4,73.64864865
,51.3,2.6,52.4,-3.14232902
,51.9,3.38645418,55.7,4.11214953
,52.1,3.78486056,56.4,3.67647059
,51.4,4.25963489,56.2,6.43939394
,51.5,3.41365462,55.9,4.09683426
,51.0,3.03030303,55.2,2.60223048
,51.1,2.81690141,54.2,0.9310987
,50.9,3.03643725,54.4,0.36900369
,50.6,2.4291498,53.6,-1.28913444
,50.8,1.39720559,53.2,-2.02578269
,52.0,2.97029703,52.3,-4.5620438
,35.7,-27.43902439,29.6,-45.48802947
,50.0,1.01010101,54.1,-1.09689214
,50.2,1.6194332,53.5,-0.55762082
,50.2,0.4,54.4,1.87265918
,49.3,-1.79282869,52.8,-2.04081633
,49.8,-1.96850394,53.7,-2.18579235
,49.5,-3.50877193,53.8,-0.73800738
,49.7,-2.9296875,53.7,-0.55555556
,49.4,-4.0776699,54.2,-1.45454545
,49.4,-4.81695568,54.3,-1.09289617
,50.1,-2.52918288,54.3,-0.91240876
,50.5,-1.94174757,54.8,0.36630037
,49.2,-2.18687873,54.3,-0.18382353
,49.5,-3.50877193,54.7,-1.08499096
,49.4,-4.26356589,53.8,-2.18181818
,50.0,-3.47490347,53.4,-2.55474453
,50.2,-2.71317829,53.9,-0.73664825
,50.8,-3.05343511,54.9,-0.90252708
,51.3,-0.77369439,54.2,1.49812734
,51.2,-0.38910506,54.0,-0.91743119
,51.5,-0.3868472,55.0,0.18214936
,51.9,1.3671875,54.9,0.73394495
,51.4,0.390625,54.8,1.48148148
,51.5,-0.57915058,54.6,-0.90744102
,50.3,-2.51937984,54.4,0.36900369
,51.3,0.0,55.3,1.28205128
,51.6,0.38910506,55.0,0.91743119
,51.8,0.1934236,54.8,0.18281536
,51.6,0.78125,54.3,0.55555556
,52.4,3.96825397,55.4,3.16573557
,51.7,2.57936508,53.4,-0.18691589
,51.4,3.00601202,54.5,1.11317254
,51.7,3.4,54.9,2.23463687
,51.2,2.19560878,54.5,2.63653484
,51.2,2.19560878,54.0,0.93457944
,51.8,3.187251,55.1,2.41635688
,51.6,5.30612245,54.2,2.84629981
,51.3,3.84615385,54.6,2.05607477
,51.4,3.42052314,54.5,0.18382353
,51.7,4.23387097,54.7,2.05223881
,51.2,2.81124498,54.0,1.69491525
,50.4,1.20481928,53.7,0.56179775
,50.4,1.4084507,53.5,0.18726592
,49.9,-0.2,53.9,0.0
,50.0,-0.39840637,53.7,-0.18587361
,50.1,-0.19920319,53.1,-0.18796992
,50.1,0.0,53.5,0.18726592
,50.2,0.1996008,53.8,0.18621974
,49.0,-1.80360721,52.7,-2.22634508
,49.4,-0.80321285,53.5,-0.37243948
,49.7,-0.79840319,54.4,0.55452865
,49.6,-1.3916501,53.6,-0.55658627
,49.8,-1.96850394,53.1,-1.30111524
,49.8,-2.54403131,53.4,-1.11111111
,49.7,-2.73972603,53.4,-1.83823529
,50.0,-3.28820116,53.9,-0.55350554
,50.2,-1.56862745,53.8,-2.18181818
,50.2,-1.18110236,53.2,-4.14414414
,50.1,-0.5952381,53.4,-2.55474453
,50.1,-0.39761431,53.7,-1.46788991
,49.9,-0.59760956,53.9,-2.0
,49.8,-1.38613861,53.7,0.56179775
,50.1,-1.76470588,54.1,-0.91575092
,50.3,-2.14007782,53.9,-3.75
,50.8,-1.16731518,53.8,-4.44049734
,51.1,0.0,54.0,-2.52707581
,51.1,0.19607843,54.4,0.92764378
,51.7,2.7833002,54.2,0.18484288
,51.0,1.79640719,55.0,2.04081633
,50.8,0.0,55.5,2.20994475
